"UserName","DBName","Location","Count","MatchType"
"Artisan Tap","Artisan Tap","Hartshill,  Stoke-On-Trent","11","Exact"
"Bakers Arms","The Baker's Arms","Cheadle","4","Fuzzy-Contains"
"Bod","bod Stone","Stone","5","Fuzzy-Contains"
"Catchems Corner","Catchems Corner","Meir","1","Exact"
"Catchem's Corner","Catchems Corner","Meir","1","Fuzzy-Normalized"
"Charlie Bassett's","Charlie Bassett's","Dilhorne","2","Exact"
"Checkley Community centre","Checkley Community Centre","ST10 4NB","1","Exact"
"Checkley Community Centre.","Checkley Community Centre","","2","Fuzzy-Normalized"
"Cheshire Cheese Hanley","Cheshire Cheese","","2","Fuzzy-Contains"
"Eleven Sandyford","Eleven","","46","Fuzzy-Contains"
"Granvilles","Granville's Restaurant & Music Bar","Stone","1","Fuzzy-Contains"
"Green Star Smallthorne","Green Star","","2","Fuzzy-Contains"
"Greyhound","Greyhound Inn","Penhkhull","1","Fuzzy-Contains"
"John Marston","The John Marston","Longton Hall Rd,  Stoke.","1","Fuzzy-Contains"
"Lord Combermere","The Lord Combermere","Audlem","1","Fuzzy-Contains"
"Miners Arms","The Miners Arms","Madeley","1","Fuzzy-Contains"
"Moorland Inn","The Moorland Inn","Burslem","11","Fuzzy-Contains"
"New Old Sal","The New Old Sal","Longton","1","Fuzzy-Contains"
"Norton Central Social Club","Norton Central Social Club","","5","Exact"
"Pau Caf̩","PAU Cafe","Trentham Estate","1","Fuzzy-Contains"
"PaU Cafe","PAU Cafe","Trentham","1","Exact"
"Potters Bar","Potters Bar","Meir Park","1","Exact"
"Redgate","Redgate Clayton Fc","Clayton","1","Fuzzy-Contains"
"Rose & Crown","Rose & Crown","Biddulph Moor","2","Exact"
"Shoulder","Shoulder of Mutton","Fulford","2","Fuzzy-Contains"
"Sixtowns","SIXTOWNS by Bros Distillery","Wedgwood","1","Fuzzy-Contains"
"Swan Inn","Swan Inn","ST15 8QW","1","Exact"
"Swiftys","Swiftys","Meir","14","Exact"
"Swifty's","Swiftys","Meir","1","Fuzzy-Normalized"
"Swiftys Bar","Swiftys","Meir","1","Fuzzy-Contains"
"Swiftys Meir","Swiftys","","3","Fuzzy-Contains"
"Swifty's Meir","Swiftys","","1","Fuzzy-Contains"
"The Albert","The Albert","Bilton Street,  Stoke","1","Exact"
"The Archer","The Archer","Wolstanton","1","Exact"
"The Ash Inn","The Ash Inn","Mow Cop","1","Exact"
"The Black Horse","The Black Horse, Endon","Chesterton","1","Fuzzy-Contains"
"The Boughey Arms Audley","Boughey Arms","","1","Fuzzy-Contains"
"The Bridge Inn","The Bridge Inn","Stone","2","Exact"
"The Broughton","The Broughton Arms","Haslington","2","Fuzzy-Contains"
"The Bush","The Bush","Brown Edge","3","Exact"
"The Congress Inn","The Congress Inn","ST3 1HJ","1","Exact"
"The Corner Pin","Corner Pin","Longton","1","Fuzzy-Contains"
"The Cosey Club","Cosey Club","Haslington","10","Fuzzy-Contains"
"The Cuckoo","The Cuckoo","Stoke","1","Exact"
"The Eight Farmers","The Eight Farmers","","1","Exact"
"The Gatehouse","Gatehouse","Clayton","1","Fuzzy-Contains"
"The Glebe Stoke","The Glebe","","8","Fuzzy-Contains"
"The Globe","The Globe","Tunstall","1","Exact"
"The Green Star","Green Star","Smallthorne","7","Fuzzy-Contains"
"The Green Star Smallthorne","Green Star","","1","Fuzzy-Contains"
"The John Marstons","The John Marston","44 Longton Hall Road,  Stoke ST3 2NQ","1","Fuzzy-Contains"
"The John Marston's","The John Marston","Blurton","1","Fuzzy-Contains"
"The Linley","The Linley Tavern","Alsager","1","Fuzzy-Contains"
"The Linley Tavern","The Linley Tavern","","2","Exact"
"The Locomotive","The Locomotive","Heren Cross","1","Exact"
"The Locomotive Inn","The Locomotive","","1","Fuzzy-Contains"
"The Old Bulldog","The Old Bulldog","ST3 1JR","6","Exact"
"The Old Post Office","The Old Post Office","Burslem","1","Exact"
"The Old Queen's Head @ Talke","Old Queens Head","","1","Fuzzy-Contains"
"The Old Star","Old star","Uttoxeter","3","Fuzzy-Contains"
"The Plough Bignal End","The Plough","","1","Fuzzy-Contains"
"The Potters Bar","Potters Bar","Meir","1","Fuzzy-Contains"
"The Prince Of Wales","The Prince of Wales","Congleton","1","Exact"
"The Princess Royal","The Princess Royal","","1","Exact"
"The Priory Leek","The Priory","","1","Fuzzy-Contains"
"The Rigger","The Rigger","Newcastle,  St5 1bt","1","Exact"
"The Rigger Venue","The Rigger","Newcastle-under-lyme ST5 1BT","8","Fuzzy-Contains"
"The Roebuck","The Roebuck","Leek","4","Exact"
"The Roebuck @","The Roebuck","","1","Fuzzy-Normalized"
"The Shed","The Shed, Maybank","Maybank","3","Fuzzy-Contains"
"The Terrace","The Terrace Inn","Stoke","1","Fuzzy-Contains"
"The Waggon & Horses","Waggon & Horses","Newcastle","2","Fuzzy-Contains"
"The Wellington Inn","The Wellington Inn","Heron Cross","2","Exact"
"The White Hart Inn","The White Hart","ST10 4DZ","1","Fuzzy-Contains"
"The Windmill","Windmill","Werrington","1","Fuzzy-Contains"
"Ye Old Queens Head","Old Queens Head","Talke","1","Fuzzy-Contains"
"Ye olde crown","Ye Olde Crown","","1","Exact"
"Ye Olde Crown Burslem","Ye Olde Crown","","1","Fuzzy-Contains"
